HP1BP3	OR1Q1
PDE10A	PDZD8
GATA4	TBC1D24
RBM19	CCR6
TM4SF1	CD46
TG	LINC00500
NAT8L	XPO5
CCR6	PRDX6
BAK1	RDH13
TAAR6	DEFB131
ARPC1A	CLNK
UBE2H	VWA8
LOC650157	CLPP
RGPD2	MSRB1
C1QTNF8	CDH5
C12orf29	ENOPH1
SEC16B	MRPL13
DHRS12	C19orf2
TSPAN13	SELE
SPTAN1	LINC01075
GLRX2	HABP2
NKX2-8	SEMA3A
IQCH	YOD1
RNF43	EPHA4
CSRP3	ALKBH4
SORCS2	TBC1D22A
CCDC40	TBRG4
LINC00461	CHFR
DAZ3	SEMA3G
TRIM59	EMP1
TSEN34	PTCHD2
CEACAM16	RIPPLY2
PRSS12	LGALS3
HOOK1	LINC00614
CDH9	SCARA5
HSD17B11	FPR3
PYGO2	TLE1
ZBP1	AKAP12
SNORD68	RRN3
LINC00708	EYA4
HMCES	SLC43A1
STRADA	HEMGN
UBE2A	TFF3
PTDSS2	PSKH2
NDUFB5	LINC00328
TIMM10B	OSTM1
TRIM69	LINC00895
GEMIN5	ORMDL1
APH1A	MAST4
UQCRFS1	SLC2A3
FFAR2	ARMC5
MAP1LC3A	FAT3
APBB1	GNAT2
CASP3	CCAT1
SLC7A10	HNF1B
ZNF57	MAN1C1
KIFC1	HLA-DOA
CCDC154	SLC5A7
RNF212	SPEF2
UBL7	R3HCC1L
ODF2	KIR2DL3
SMAD7	ZC3HC1
TRPV4	BLVRB
ANXA2R	TTPAL
OR7D2	DNAJA2
MYBBP1A	PCDH19
CCT7	SDHAF2
CARD17	DEPDC7
CGNL1	PVT1
UST	ZNF562
ZMYM1	CXCL3
MEMO1	ZDHHC15
PRR19	MRPL48
TESK2	ASAH1
HOXD4	KLC4
CD74	OTOF
LDB2	KIAA1737
SLC39A13	DENND1C
SPICE1	SIGMAR1
C19orf52	RMND5B
HADHB	DNAJC28
MORC1	RALB
SERTAD1	MED4
C20orf20	OR51A2
PITX2	DAPK3
ALG1	HCLS1
HOXA2	CEP170P1
CIZ1	SLC41A1
VCL	MASP2
FAM98C	TMEM43
HNRNPF	C18orf32
LHB	SPATA4
SLC25A32	ERBB2IP
PARP11	LGI2
USP54	PGGT1B
RNASE11	C11orf59
TRPC2	WDR73
TSPAN5	NFE2L3
CLEC2A	MIR2861
IL15RA	HIVEP2
UQCRC1	PHYKPL
YARS	EMP1
ADAP1	LPCAT4
PRC1	RFPL4AL1
SEMA4B	FKBP7
IFT57	CCDC173
SUPT20HL1	RBAK
CELF6	PCDHB11
OR8K5	RNF216
SHF	RMDN2
SVIP	NEURL1
SLC29A1	KRTAP20-4
LGR6	OMG
THOC3	F10
DNTTIP1	LAMB1
CGB3	SLC15A4
ZNF19	TLX1
IYD	TIMM23
ZNF98	PRMT6
GMPPA	TSPAN16
THOC5	NUP54
P4HA3	EEF1A1P6
DDAH2	TOMM6
GRN	ZNF324B
JUP	CHTOP
PRKRIP1	LACTB
SCRN3	SRSF2
PRR12	SELV
TMEM27	ZNF219
MIEN1	LINC00960
CDC25B	GPR85
CD5	GFM1
OR10A6	TP63
HOXC10	CCDC38
RBM19	FAM171A2
OR4S1	CAPZA1
CXCL10	SUB1
ZNF334	SCO2
WDR43	FKBP7
DNTTIP1	IGF2BP2
GDF5	TXNDC12
LINC00658	TUBA6
SLC4A5	C11orf51
MAP3K6	CDC25C
HMOX2	HNF1A
ELAVL4	LINC00349
UNC5C	VRK1
CXCL12	MTA1
RPLP0P6	OR5D18
TRIM44	SHPRH
BACE1	ITPA
ATXN7L2	ERBB4
FBXO10	CEP85L
THBS1	SUMO3
POLR2K	SEMA4G
EMC3	RNPS1
DEFB110	CDC14B
OR2T11	LHX8
TBX18	LINC00960
UMOD	GUCY2C
SNORD21	METTL3
EIF3S10	SACS
FAM43B	IL10RA
USH1A	HOXD9
APPL1	KRTAP26-1
SLC7A4	NBPF15
ZNF585A	TMEM63B
ALAS2	ETV7
TMEM114	DDX60L
ATXN3L	SERPINA3
LINC01002	TTC8
LMF2	SPC24
ASD1	SMG7
CYP4V2	RBP1
ELOC	OR1L1
PPP2R2B	UBE2V1
SMAD5	SOBP
FCHO2	LINC00162
COL21A1	CINP
MKX	SHBG
OR2T12	OPLAH
FAM156B	FJX1
KDELC1	HAT1
UBR3	LINC00457
UBE2J1	XAGE2B
GRB2	LINC01082
MEGF6	ORC4
DNMT1	COL10A1
OR52E2	TLK1
DEGS1	RGPD6
APOBEC3H	THSD1
CCDC147	OR6C1
USF1	DCHS1
CCSER2	MAB21L2
PTMS	MANBAL
PACSIN3	PMS2P5
CBL	HYOU1
USP6	THOC5
LLGL1	PAX4
TBX21	RALGAPA1
PCSK1N	PRNT
DCAF5	CALCR
CPSF4	LINC00521
IGFALS	RBFOX1
GATSL2	TBX20
GMFG	ATP2B1
CACNG8	CDCA8
TRUB2	KRTAP10-5
OR1N2	CDC25B
MLANA	CDR2
TBC1D16	TECPR1
PCID2	KLF6
PDX1	DSCR3
EXOC6	MIR29C
PLP1	ATP7B
SNRPF	DUS4L
GTPBP10	XAGE1C
ANO2	SPAM1
SENP5	NEU4
SLC35E1	MAP2K3
GNG10	ILKAP
ZNF500	KCNG4
GBF1	B9D1
KRTAP19-4	MRPL1
RGS14	GATA5
OTULIN	OR6N1
KCNG4	TRIM23
TMEM106B	POLR3B
DSC3	GDPD2
IQCG	LYST
LRR1	FEZ2
TCF21	RTP1
SLC38A2	BPNT1
OR52B6	HAND2
SCFD2	ZNF264
NR1I2	HPSE
DDX17	CAPZA1
CACNG3	NIM1K
ZNF788	ATP2B2
LINC00418	C6orf48
CENPH	MIR222
AVL9	ACY1
HSPA1A	CTXN3
CPNE8	IL36G
RBM12B	TLR4
DAZ4	MBD3L1
IL10RA	GAL3ST1
APCS	IFT43
TRAJ43	PPIL3
DDIT4	PRKX
KIAA0087	TIAM2
UGT2B15	GPR17
ZNF724P	CHN2
SRPK3	C6orf203
UAP1	HMGCL
TAS2R60	LINC00839
PCDHA13	INTS5
ZNF69	MT-CO2
GSN	TMEM188
EIF4A2	DGCR8
STXBP4	CHST12
LMF1	BMP10
BFSP1	STOM
PSMA2	KCNA1
MASP1	DPP3
LYVE1	LCA5
URI1	PDIK1L
MAP1B	FGF14
MRPL11	RAD9B
LRRC26	KANSL1L
FEZ2	GALR3
RABIF	TRIM45
CDH4	IGLP1
LGR4	FAM208B
BARHL2	RPAP1
TREH	TCERG1
FGGY	CHD1
C14orf159	KRTAP2-3
CCDC185	SFI1
NPR2	SERPING1
RPRD1A	EIF4E
MTHFR	FYB
DERL2	PTTG1
ABR	AKR1D1
FBLIM1	SMAGP
GNAL	ATXN7L2
GCLM	SEC24B
CBWD2	HLA-E
EDN3	FAM186B
GRK4	ARHGAP1
COQ6	AMMECR1L
SLC25A18	MRPS21
SF3B5	FAM156B
CTAG1A	IGKV4-1
CCDC28A	DCE
LINC00461	CST9L
SP140	TFDP3
TRAM1	CMTM6
FGS5	GNPDA1
TUFT1	PDE9A
UGP2	ZSWIM8
DDX26B	LINC00893
OXSR1	MVB12B
HSP90B2P	RAET1G
ZCRB1	PRSS27
MIR181B2	MVB12B
HSPB8	GNAT3
EFNA5	MISP
NLGN3	CC2D1B
ADD1	MRPL22
LIN37	EMC9
MYL10	METTL13
MTMR4	ZNF155
SAC3D1	HPGD
SCFD2	BRCA2
KIAA1614	U2AF1
C1orf21	CT64
TBC1D8	MYL6
TMEM221	SNORD56
CTPS1	TNPO2
TEKT4	ETFDH
KIAA1377	AGFG2
CD2BP2	INO80B
FAF1	SPAG6
TLE6	DYT15
UGT1A	NCKAP5
UBB	AADAT
TBC1D10C	KPNA1
DLG5	SEC61G
LINC00909	IDS
VPS41	NFXL1
ZNF34	LINC00114
UCHL1	IPP
IKZF4	OPA8
SLC25A47	SPHK2
TEX29	BRDT
HTN3	NOL6
CPT1C	TDRD7
SPAG1	PIK3CA
CYP2A13	CMPK1
TVP23B	F2RL2
SNORD115@	TSC22D4
ATP5G3	TRIM49
MORC3	IRGC
KIF3B	PLBD1
GLIPR2	STIM1
PPP1R32	DEFB116
IL37	SLC11A1
SUDS3	ZKSCAN2
THAP11	LINC00951
GP6	SNX19
EXOC6B	FAM105A
FABP1	NPTN
RFPL1	MIR31
ALK	ISCA1
FOXA2	ANKLE2
DRG2	NPY4R
HBE1	STT3B
KRTAP10-1	LPAR2
KIAA0196	FKBP3
FBXO6	FKBP7
HIGD1B	BOC
NDUFB2	KCNJ8
MRPS25	ANKRD1
NR4A1	SLC7A14
USP4	LINC00407
GNG11	ACTG1
KLHL15	PYDC1
HNRNPA3	FBXL15
MPZ	KIAA1549L
TRIM3	MYO3B
SLPI	BID
TF	PDE2A
BIRC7	MSK10
BHLHE40	ADAMTSL1
TTC12	EFNB1
MIR100	PSMC1
TIMM8A	ATP6V1B2
VPS29	C6orf25
IFT122	COCH
AHCYL2	NHP2
PTPN11	DEFB117
SERPINB10	GGTLC1
NET1	LECT2
HTR1A	OR10G4
TAB3	HSPB11
TMEM198	GRAP2
SYNPR	CST11
ABCC6	KRTAP10-5
TBC1D22B	OR51S1
HDAC8	PSMD10
PKP2	OR4F4
PPP3R1	LINC00675
PYCR2	PSMB6
SASS6	PLK2
IFRD2	SH3RF2
YPEL4	NOL3
PRKG2	DLK2
AMMECR1	APPL1
ASCC2	GATM
OSBPL11	ZNF230
MIR25	TSN
EIF3E	SNORA62
VEZT	SNORD76
TRD	KYNU
DCAF16	TRAJ22
CTC1	CD59
BRD8	ASB11
KRT82	ZNF679
C1orf115	LINC00243
OR51J1	ELOVL5
MAU2	RAX2
CDC42BPB	MVB12A
ISL2	SEPT11
EEF1A1	CRLF3
PRB4	MMP3
PLA2G12B	COBL
SETD5	TXNDC17
POLR3A	GRIN2B
BICD2	KCNK2
DEFB132	ZNF687
SEMA6A	CCL2
GRM6	TBCD
KCNC1	RAP2B
EMC3	KRTAP3-1
EGFL8	KRTAP2-1
RPL35A	FKBP7
MKKS	FDPS
ZNF20	TMEM170A
LINC00967	ALPP
TMEM67	OLFML3
TRAJ8	ENTPD2
ZNF556	ITGA2
ERCC5	COL5A3
MBTPS2	MUC5B
TOB2	TRHDE
POLD3	ADCK2
CRH	NBEAL1
TEX35	RPS14
BOD1	TMEM192
COL4A1	DUS2L
CELF2	SP8
GEMIN2	ZNF99
SLC22A11	HTC2
RCC2	KIR3DL1
MYRF	NBEAL1
CXXC11	OSMR
EMC3	BPY2C
DCBLD2	RTN2
KIF23	FABP3
CSF1R	KIF2A
CLYBL	SLC37A1
ACOT2	CA10
PLD1	SYS1
GIMAP8	POR
LINC00850	RBBP9
PRTN3	ZSWIM8
MOXD1	FAM151B
CRYBB3	SERTM1
ANKZF1	C11orf1
LSM10	TCF25
PRAMEF16	OR6P1
DCP1B	CEP55
GLI2	NFIA
STRA8	MICAL1
MBD5	CIAO1
NKX6-1	CD2AP
SPG23	GCH1
EP300	KRT5
UBE2E2	ZNF35
CYTH3	BMPR2
CRMP1	NPTN
RANBP1	DTX1
ZMYM2	NUDCD2
FAM179B	SPIRE1
ADORA3	HIPK3
RNF222	GET4
TMEM233	NDUFB11
TRAJ41	PROL1
MORN4	GRAP
GNB3	IQCG
WDR73	DUSP19
ALX1	NOL11
PLA2G2A	ING1
KCNK9	MAP3K1
MRPL22	PRDM16
DLK2	GUSBP2
KRTAP4-2	TBC1D3C
NES	SLC17A8
GK3P	FAM45B
DLAT	SPINK6
GPC6	BZRAP1
KCNH7	MAN2B2
DHRS7	NRBF2
ZC3H13	RPS19BP1
PRKAR2A	OR10G8
GNPDA2	COQ9
WDR59	NLRP3
CASC4	MRT22
TMBIM6	PPP1R12C
CHRM4	KCNA2
USE1	TPRN
TRAJ40	FAM124A
FAM83A	INSL6
LINC01047	OR2A42
ZBP1	CRLS1
SPRR2D	OR2G6
ASB4	CCDC85C
PARP16	AIPL1
FAM63A	NMUR2
FAM210B	MYL10
TTBK1	HPSE
TFF3	TAOK1
SLC22A16	SPATA2
FGD5	SFTPA1
RPL18A	HIST2H3A
TBC1D32	DUSP8
LILRA5	MRVI1
OR9A2	CEP78
VHL	ITLN2
LINC00896	MSTN
TREH	ARPC3
VWA5A	B3GALNT2
CEP170P1	TTLL3
PRPF31	PRKRIP1
FAM98C	CABP7
MMP21	PIH
CD55	FAM219A
ARHGAP18	SLC22A24
IL5RA	SMPD1
LINC01010	DBX1
PTPN12	CDK8
PHBP8	LINC00678
OR4E1	SMCR8
SQLE	RNF122
TLR3	KRTAP5-3
CMSS1	KRTAP17-1
ZNF512B	LETM1
MRX24	TNNT2
C17orf90	SPECC1
WIZ	LCE1C
MIR181B1	PHPT1
IRS1	LINC00533
EEF1B2	DLL3
KLHDC8B	KIAA0226
ERAP1	PRLR
ITGB1BP2	SNORD123
KIAA0247	NPY1R
ZNF337	TAS2R39
FAM96A	ETV6
LINC00967	PPIAL4C
CYP4A11	AQP2
PSMB1	MIR15A
TSPYL1	OR52L1
AIM1L	KAL1
ZC3HAV1L	SEPSECS
RRP1	OR9Q1
KCNJ9	RBM10
ATG16L2	HSD17B6
SMAD3	OR5D13
HSP90AA1	PCK1
DEFB122	SERPINB6
LINC00162	SOD3
TMEM19	NOV
ZNF234	CPLX4
ANXA2R	AKNA
MAP3K2	BCR
ZNF420	TMX1
LINC00504	FLNC
DNAJB7	NGFR
WDR41	CORO2A
SLC41A1	SEC63
EPHB2	DYNC2H1
SLC22A9	SLC6A15
GPR84	GTF2H5
DMGDH	IGIP
PLXNA1	CRTC2
LRRC39	CCL18
USP49	ZNF486
NACC1	ZNF28
SNCG	LINC00226
DHX36	S12
CAPZA3	KCNK5
BTBD6	MIR15A
ZNF542	RRAGA
TIMM22	RPL41
PPHLN1	DTNBP1
MANBAL	ASF1B
PLXNA4	WDR92
ANGEL1	ATP5J
ALKBH4	SSU72
MIR142	CCDC157
RNASEH2B	FAM178B
RP1L1	TKTL1
HIST1H2AE	ACSM2B
MED23	FAM53A
CLEC2D	PPIG
UNC13D	NXT1
TSPY2	STMN2
NPB	TFP1
KPRP	ECE1
ZNF839	ULK1
CAMK1	GPRASP2
ANK1	STX18
LPXN	HAUS4
SIKE1	CHI3L2
SERPINA10	SLC45A1
NKRF	LOC100653194
PHF21A	TRAJ26
SNX10	PSORS2
PKD2L1	NCOA3
EXOC3L2	SCA25
LRRC6	MFAP2
IPO13	SVEP1
AIDA	C9orf43
C11orf70	ZNF398
RP22	COQ10B
NPC2	LARP4
TGM4	PHF2
SLC22A2	LINC01085
GPHA2	TSPYL5
SLAMF9	CLCA1
EIF2S3	MAEA
RAD51D	BPTF
ARHGAP33	MIR128-1
CEBPZ	FAAP20
AIMP2	OXT
CDK1	SMG6
STAT5A	TBR1
RPL9P9	PSTPIP1
MTRNR2L4	DNAJB4
RP2	ZBTB9
SCARF1	LRRC73
DULLARD	SLCO3A1
HOXA6	LINC00483
ARID4A	BARHL2
RPS19BP1	HBM
DMRTB1	CRYBB1
EXD1	RPS4Y1
NME1-NME2	LINC00923
EMX2	NXNL1
EOMES	LSMEM2
PLD5	CORO2A
RWDD1	INGX
ITK	FAM160B1
LINC00355	USP5
KLHL41	G3BP2
LGI3	SIRT7
CAAP1	IVL
RPS28	REV1
C9orf78	PRKRIR
TTC18	CHCHD4
BBS4	ZNF558
PAXBP1	SEPT1
RPE	GJA5
LRRC19	ZNF267
MARVELD3	PARP1
COX2	NAPEPLD
C11orf54	CTR9
TMC4	CHCHD6
LMF1	GAPDHS
RRS1	SEPT2
EVL	SETD3
AGGF1	AGXT
VIL2	MASP2
SEMA3C	ARHGEF12
RDH13	EMC8
PGP	DUSP12
VCL	FAT3
DDX53	PKN1
LINC01011	MOCS1
EFTUD1	CHST9
RHBDL3	SNORD115@
PCNT	C9orf64
WTIP	CALML6
TRIM39	RPL18
POLH	LY75
TAGLN3	NSMCE4A
EXOC8	ZNF429
MRPS18B	DUSP22
CKLF	SLC9A3R1
SEC23IP	ZNF148
TEX33	TSSK2
THAP3	MYO9B
TINAGL1	ELAVL3
ARSK	EML5
PTGES3	TNC
DKK4	GPATCH1
IGFL3	SNCB
BBOX1	TYMSOS
TMPRSS5	SPICE1
EPG5	ETF1
RHBDF1	MCF2L
STK40	UPP2
ARIH2OS	NUDT2
CNKSR3	SEC31B
NOL10	BCAS3
KIAA1024	RRAGD
OR52E4	ATOH1
TNFSF8	ATP6V1B2
NKX2-6	KIAA1549L
SFRP1	LINC00333
TMPRSS13	POGK
ST8SIA2	HSD17B8
ADCY8	SLCO6A1
TEX38	IRS2
LINC00910	TXK
TMEM249	ACBD4
SAMD9L	C4orf29
SH2D6	IGHG2
CDC25A	CNNM2
KIF3B	KIF1C
EPHA8	PSMA5
GCSH	SREK1
MKRN2	KIF13B
PAQR5	NXF2B
ACD	SNTB2
MRX2	C7orf50
SLPI	GJA10
MICALL2	MLL
NDE1	OR4C3
EPHA7	DHRS7
UBE2D3	C3orf17
STX4	CROT
ISG15	CLDN1
ZNF532	PROL1
STAB1	MARF1
PPP1R3B	NGEF
NDUFB4	GPR98
ADAM23	C1orf198
MRX23	EMBP1
SYNDIG1	VPS4B
AGA	PVR
FDXACB1	RNF14
ZNF611	HMGN4
ACVR1B	SECISBP2L
ETS2	KCNT1
TSC1	SRY
ZNF259	LINC00408
KSR2	HIST1H2BA
CYP27A1	PDE6B
REEP6	SOX2
CNPY3	GRID2IP
PPIAL4D	PDPN
NLRP13	MAGEA3
GKN2	TMEM74
ZNF133	CHMP3
C15orf39	CDKN1B
C17orf42	EFTUD1
CLEC17A	BMI1
ALG1L	TPPP3
MRX18	COL3A1
MRPL21	TUBA4A
MUC17	RELA
DSCR3	TFDP3
NOTCH4	XAGE1A
SIP1	LRRC26
MTCL1	FAM214B
SUMO1P1	CWF19L1
ADAM17	YTHDC2
GNAQ	TUBB3
LINC01032	FEM1C
TRIM39-RPP21	MLL2
FSBP	PADI4
TAOK2	NPC2
SHFM1	C17orf82
GAL	ASTE1
KRTAP10-4	CDC34
ZNF266	SRGAP2C
ZNF850	F8A3
AIFM1	C4orf43
TXNL1	GSTA2
LHX3	IL6R
CCL2	CCKAR
KLHL30-AS1	PLEKHA1
GPM6A	BRE
PTBP3	KCNQ1
CSF2RA	ITGAX
EIF2B3	SSTR4
CAMK2G	USP1
CFAP44	LRRTM4
NDUFV2	LRRC37B
HESX1	SDCBP
FRAT2	ADAM19
CCDC138	RLIM
LINC01068	AIMP2
CCL4L1	SCAANT1
KIAA1737	NTF4
RPS10-NUDT3	HOXD10
DUXA	TMEM101
ZNF333	CEPA
VPREB1	GNPTG
UNC80	SYT8
MRX5	RTCB
RHD	THEM5
ZFR2	MT1F
HOXA13	ING4
IFI35	RIPPLY1
PDCL3	MAK
PELP1	GGCT
MSLN	CCER1
LINC00618	FBXW9
ZNF843	GPM6B
CXCL13	PI3
OR52D1	CHRNB3
PPP4R1	SF3A3
EIF3I	ZNF487
MIR30D	SERPINA9
C1orf107	FASTKD3
CITED1	ZNF92
IL4R	SLFN13
OR1D2	SNX25
ACSBG1	GUSBP1
KIF12	RNR4
GRM8	MAP3K14
SH3BGRL2	FDPS
MIR23A	SEMA6D
SMYD1	C21orf91
NDUFA13	SLC12A9
DDX28	PLAC1
PGGT1B	C8orf30A
HDAC9	CYGB
EOGT	LINC01049
UPK1A	CREB3L2
DNAI1	GPR112
NPAS3	OR13C5
LGALS9	SHQ1
GPC5	C6orf165
RPA4	PEA15
CGNL1	CORD1
MAL2	HTRA3
PCP4L1	GLTP
GDA	GPR150
ZNF732	ZFPM2
MMD	OR52B4
ZNF624	CRYGA
C19orf18	RHO
CDK14	WISP1
RAB13	OR1F1
EDA2R	EFHD2
MRPS25	ARMCX2
MIR127	CRCP
MFSD5	M1AP
LRCH1	MBD3L1
ZIC2	IFNGR2
CAP1	UCHL1
APOBEC3A	MRT22
PIP5KL1	HLA-DRB4
MLX	ENAM
SEPT1	DHX38
GRK1	RCE1
MLXIPL	HCA90
CC2D2A	UTP14A
NEK1	SELV
FCAMR	STARD3
TRAJ43	MTRNR2L1
RQCD1	LINC00686
CKAP2	ARGLU1
SNX24	MAP3K11
KIAA0408	ZNF852
PARP10	RGS1
DSP	SBNO2
CCDC24	CENPU
APOH	FEM1C
MYL10	ADAM33
DAPK2	ALKBH7
TUSC1	LINC00529
METTL13	PPP2R2C
USPL1	SLC25A46
ZFAND5	PREPL
HRH1	DPPA2
MEP1B	RGS9
RCBTB2	ZFAND4
JADE2	HOOK3
EMC3	UTP18
SH3GL3	EML2
CWC15	IGHV@
PTPRK	ALG1L2
HSPB2	CYP2S1
SLCO4A1	SUOX
MEX3A	KLHL15
CACYBP	EML1
SPG41	PALB2
HDGFRP3	CCDC59
ATP8B1	GBA3
EPHA3	METTL21B
STX1B	ARID4B
DSCR10	OR1E1
CRNN	ANKRD52
KRT7	PGLYRP3
EDC4	OR8G2
OSR2	NUP93
DAZAP2	KIF19
TPT1	TRIM9
RPEP3	SOHLH1
CYP2C19	WDR41
ZNF73	SNRNP27
OSBPL11	CGB
TANGO6	NR5A1
IGHE	NM
CNR1	ARIH1
VRK3	OR51S1
CXCR4	GALK2
GFRA2	EMCN
FAM214B	UBAP1
GPR111	OR2H1
GPS1	PRKD3
UST	GIMAP8
TMEM31	KIAA1239
PPIA	SLK
SF3B1	NDST1
PRH1	SLC12A1
SATB2	RSPRY1
KRT75	RGS20
PAX7	SIGLEC11
RAD21	PIK3R6
REV1	INSC
ANO9	UNC5CL
C14orf80	CALHM1
NFE2L2	CYP19A1
SRY	GSTA3
POLRMT	ZNF738
MSANTD3	PPARGC1A
MEX3B	AFF1
MYBPH	SLC6A13
CCL5	CLDN5
CPEB3	TNXB
DEFB110	GTF2E2
KRTAP5-8	GSG1
TCL1B	SEC22B
SNORD69	ZNF227
PAM	ICOSLG
WHAMM	CDH10
SMARCA5	SKAP2
TMEM53	TGFBR2
ADAR	MT-TP
POMT1	TTLL5
SKIV2L	DCLK1
MAP2	RPL32
DND1	RBP4
USP19	TGM3
PPARBP	SUPV3L1
LINC01038	TMX1
MTUS1	HIPK3
IDH3B	SLC8B1
MAD2L1BP	LRRC32
BMP8B	COL15A1
ZNF335	RPA1
TARDBP	MT1B
MPZL3	CMTM3
LAPTM4B	POMT1
C19orf53	MMP23B
LINC00930	ARPC1B
SKA1	KLF4
HLA-DQB2	ZBTB25
YWHAQ	ABI2
PSMB5	SNX2
OR14J1	LINC00691
NR5A2	PNPLA8
TUBGCP4	SERPINB7
DYT13	EGFL7
ADAMTS4	LINC00934
ZNF282	CHD5
ITFG1	GTF2B
CNRIP1	AFF3
HORMAD2	LINC00433
EVPL	KLHL41
C1QTNF7	STIP1
CEP164	C1QTNF2
CHRFAM7A	ALKBH4
LYVE1	KIAA1033
C19orf60	ABRACL
MEN1	25653
OR10H5	UVSSA
GRM3	MYO1G
SOX1	IFNA17
ALS2	NARS2
IFNA8	DEFB113
RCAN2	H6PD
LINC00593	UGT1A10
ERBB2IP	KMT2E
SLC23A3	SHCBP1
HINT2	COQ10B
DIEXF	PIP4K2B
SLC22A5	KRT81
PRRT4	WBP5
BCL2L13	PHACTR4
LRCH2	HBEGF
HIST2H3PS2	SNIP1
CHRNA1	MUC17
GIMAP1-GIMAP5	ALDH4A1
CDC2L2	FAM178B
SCP2	OR14A16
ZBTB12	CLPB
MYO15A	ACAN
PYCR2	ADARB1
TTC28	MAGEA2B
TMUB2	WDR87
VTI1B	LIMD1
DHRS12	TBC1D26
RHEBP1	TDRD12
ADAMTS7	METTL22
TRIM36	OR5AP2
KRT31	ENO3
GPC6	OR4A15
TNXA	TEX12
OCIAD1	LRRC47
FAM72A	NAA38
FGD2	MLXIP
OPA6	HAVCR2
TAB1	RNF122
OCA5	INPP5F
OR4D5	GIMAP5
ZNF468	PDCD6
SLC4A4	YARS2
C5orf22	TCN1
YBEY	SLC50A1
PFDN4	TIMM22
HIST1H1D	PCDH12
XRN2	CT49
NFATC1	ZNF292
GPX1	CBX2
CYP1A2	STRN
ANXA8	IL22RA2
TGIF2	TSPAN10
RXRG	TFEB
LINC00277	PRDX4
EHMT1	H1FOO
ACBD6	LEPRE1
ZNF510	PNPLA7
RORC	MMP2
CCR4	CLCNKA
APOBEC3G	CRELD1
PSTPIP2	TRIAP1
DESI2	AWAT1
GIPR	CRKL
COG3	THNSL2
GPRIN2	CPNE7
PCDHB8	UBFD1
MUC6	LINC00403
LRRC34	VPS13D
MANBA	IFNL2
SCA25	SLC28A1
PTPN11	MOB1A
KPNA7	LINC00339
BTRC	PTPRM
PHOX2B	SH2D4A
NME4	MKX
ANGPTL7	TPRX1
FKBPL	IDO2
ADD1	CLUH
PPP2CA	G3BP1
IQSEC1	TRPC6
ZNF827	PHYHIPL
PDCD6	ATP6V1H
RP22	SLC25A6
MRPS6	CDK5
RCL1	OSBPL5
DNM1L	CNGA4
SKI	LINC00207
LRRC46	ZMYM1
XIST	CCDC13
RAB39A	GRIP1
PCDH11Y	STARD10
SIGLEC12	ERI2
CUX1	CCDC9
LRP2BP	ZGLP1
DYRK1A	IL11
FAF2	ZNF770
NUPL1	MDK
CLPX	SNORA29
MMP24	FAM127A
CCDC149	TAF3
TRAPPC2L	LINC00927
NHLH2	SFI1
IFT80	NF2
ZGLP1	SLC6A2
PLEKHG6	KCNC3
HBE1	TPCN1
ANE1	ZNF595
PVRL1	TUBB2B
BOK	ISG15
OSTM1	MYH7
DKC1	ARL10
TRIM54	FRMPD1
CNR1	HMGB3P1
APRT	NUDCD2
MXD1	NOTCH1
RSN	MBD5
STAC2	LINC00551
CRIM1	ONECUT2
ZNF648	OR6S1
FMNL3	FLVCR1
FRAT2	GINS3
SKOR2	ATMIN
SERPINA1	RAB15
UBE2L3	ASAP1
ARHGEF15	MAP3K7CL
SPANXN4	KLF14
JAKMIP1	MMP2
KRTAP9-9	CCDC36
ZNF624	ZNF573
ZC3H7B	COQ7
ANO9	LINC00519
PKDREJ	TMEM114
C8orf4	ZNF684
CCDC34	NKX2-1
TOMM5	GRWD1
TRAFD1	RPS4Y2
SULT2A1	TRH
LINC00418	KIAA0564
TXN	GPR22
FLRT3	LINC00642
BCL2L13	WDR96
NDUFAB1	DDX39A
IFT74	ALKBH8
NRSN1	OXA1L
PIGZ	DCC
RNLS	CEACAM7
PTRF	GABRR1
CTR9	ITGAD
SEMA6A	LINC01035
GSX1	SLC39A7
UQCRC1	ARMC8
TDRD12	SLC39A5
KRT72	CEP57
RBM43	AKR1C4
SLC50A1	DPP8
EAPP	KXD1
C20orf29	TMEM140
CXCL16	C15orf38-AP3S2
LRRC8C	DYT21
BRP44	RGS9
METTL14	OR8H1
FAM124B	OSBPL11
S100A3	OR2T8
MRX74	PXK
ATG4A	SMPD1
SCG3	PGBD5
TRIM13	JMJD4
QDPR	OCM2
WDR83OS	SLC22A6
C1orf216	MMP2
HOXD3	FOXQ1
ACBD7	MANBAL
PPFIA3	LINC00894
TARSL2	GXYLT1
KIAA1432	MRPL41
ZNF45	DMRTA1
GSS	SP4
WDR88	PPP2R2B
FAM57A	RAB40AL
PVRL1	CHMP5
ITGB2	SURF6
PLD6	SCA18
RPL39	RBM3
ADAM5	AGXT
FBXL4	GPR36
SSBP2	SDHB
LINC01015	TRPC3
EEF1A1P5	RPLP0P6
SAGE1	LYRM1
ALG6	CD5L
AURKC	S1PR1
THAP1	UCP2
ZNF777	GLA
TAS2R43	FAM48A
MIIP	SYDE2
IRGM	ANTXR1
RHNO1	TIGD4
B3GNT5	ZC3H13
KIAA0355	MAGEA2B
GINS2	SRD5A3
SDF4	KDM3B
FBXO22	MIR10B
PRINS	LINC00619
SMG9	APOO
GUCY2D	KIR3DL1
H1FX	HPR
DOCK1	TRIM46
ZBTB42	USH1A
UGP2	LINC00917
